iter	Passed	Remaining
405	6516	25586
406	6530	25561
407	6552	25566
408	6575	25578
409	6592	25565
410	6606	25540
411	6621	25521
412	6636	25501
413	6652	25486
414	6668	25467
415	6684	25451
416	6701	25441
417	6717	25424
418	6733	25408
419	6749	25389
420	6767	25381
421	6782	25362
422	6798	25345
423	6813	25326
424	6828	25305
425	6843	25285
426	6858	25264
427	6873	25244
428	6888	25224
429	6908	25225
430	6924	25209
431	6944	25205
432	6958	25183
433	6971	25156
434	6989	25144
435	7003	25123
436	7018	25102
437	7032	25077
438	7048	25062
439	7062	25041
440	7080	25029
441	7094	25006
442	7109	24989
443	7125	24970
444	7142	24958
445	7158	24942
446	7173	24921
447	7189	24904
448	7201	24877
449	7219	24867
450	7241	24871
451	7252	24837
452	7278	24857
453	7306	24879
454	7318	24851
455	7333	24830
456	7349	24814
457	7364	24794
458	7382	24784
459	7400	24774
460	7418	24764
461	7437	24758
462	7451	24735
463	7467	24718
464	7483	24703
465	7498	24682
466	7512	24662
467	7539	24680
468	7553	24658
469	7572	24651
470	7588	24634
471	7604	24618
472	7615	24585
473	7639	24596
474	7655	24576
475	7673	24567
476	7691	24556
477	7712	24558
478	7732	24553
479	7752	24549
480	7771	24543
481	7788	24528
482	7818	24555
483	7832	24534
484	7844	24503
485	7858	24481
486	7871	24455
487	7890	24447
488	7911	24446
489	7930	24439
490	7952	24439
491	7964	24411
492	7991	24429
493	8009	24417
494	8023	24393
495	8038	24374
496	8054	24358
497	8075	24354
498	8088	24330
499	8103	24310
500	8118	24292
501	8135	24275
502	8150	24257
503	8165	24238
504	8181	24220
505	8198	24206
506	8215	24191
507	8233	24182
508	8248	24163
509	8266	24151
510	8278	24123
511	8293	24101
512	8314	24099
513	8332	24088
514	8348	24072
515	8363	24052
516	8378	24032
517	8404	24046
518	8420	24027
519	8437	24013
520	8459	24013
521	8469	23980
522	8479	23947
523	8494	23926
524	8509	23906
525	8523	23884
526	8537	23863
527	8551	23839
528	8564	23816
529	8576	23787
530	8590	23765
531	8606	23750
532	8624	23736
533	8650	23747
534	8663	23724
535	8678	23703
536	8693	23683
537	8709	23667
538	8729	23663
539	8746	23647
540	8763	23634
541	8782	23625
542	8804	23624
543	8821	23611
544	8844	23612
545	8867	23614
546	8923	23704
547	8984	23806
548	9017	23834
549	9036	23823
550	9053	23807
551	9067	23785
552	9085	23772
553	9102	23758
554	9123	23753
555	9142	23743
556	9160	23731
557	9176	23714
558	9194	23700
559	9214	23693
560	9231	23680
561	9252	23673
562	9268	23657
563	9287	23647
564	9305	23634
565	9321	23615
566	9347	23623
567	9362	23603
568	9377	23582
569	9392	23563
570	9407	23542
571	9421	23521
572	9436	23500
573	9447	23471
574	9463	23453
575	9486	23451
576	9502	23436
577	9520	23421
578	9536	23404
579	9547	23375
580	9568	23369
581	9580	23342
582	9593	23317
583	9610	23301
584	9628	23289
585	9640	23261
586	9655	23241
587	9666	23212
588	9680	23191
589	9691	23160
590	9701	23128
591	9718	23113
592	9729	23084
593	9740	23055
594	9759	23045
595	9774	23026
596	9790	23007
597	9816	23014
598	9833	22999
599	9849	22981
600	9864	22962
601	9884	22955
602	9899	22935
603	9914	22914
604	9925	22886
605	9949	22887
606	9970	22881
