iter	RMSE
0	226601.9333
1	216530.9705
2	207190.0003
3	198300.1562
4	189726.2209
5	181725.1445
6	174056.3292
7	166880.3334
8	160064.7654
9	153660.9907
10	147600.3952
11	141795.0671
12	136371.6016
13	131200.7604
14	126525.5472
15	121990.1485
16	117791.0694
17	113711.9101
18	109868.2121
19	106297.1023
20	103012.2226
21	99857.11012
22	96887.15256
23	94165.31215
24	91581.51976
25	89123.69612
26	86858.78538
27	84754.15033
28	82793.59064
29	80978.83507
30	79230.4686
31	77611.98363
32	76100.45789
33	74742.297
34	73459.86765
35	72279.42229
36	71174.73725
37	70164.40806
38	69242.91971
39	68327.20595
40	67472.31137
41	66669.27967
42	65939.70315
43	65280.51944
44	64594.80272
45	63954.56106
46	63422.67705
47	62900.18525
48	62403.79108
49	61973.10762
50	61545.04397
51	61112.18965
52	60750.46674
53	60398.91888
54	60090.58873
55	59788.01864
56	59509.1757
57	59206.77692
58	58950.39293
59	58712.84463
60	58458.73184
61	58259.85331
62	58039.25741
63	57832.94987
64	57563.21719
65	57396.32504
66	57237.6865
67	57104.86242
68	56925.77655
69	56798.40879
70	56679.02096
71	56551.80767
72	56411.09904
73	56296.42848
74	56099.08999
75	55992.69801
76	55826.15275
77	55714.19347
78	55589.65007
79	55499.7671
80	55388.7417
81	55331.45124
82	55148.91822
83	54993.36935
84	54821.77291
85	54746.73967
86	54677.46009
87	54621.69936
88	54530.20637
89	54393.31605
90	54246.5787
91	54197.32898
92	54151.01023
93	54109.67792
94	54051.8424
95	53987.53484
96	53942.584
97	53901.39523
98	53865.74551
99	53830.52045
100	53791.0285
101	53735.70399
102	53681.59415
103	53584.42847
104	53547.47672
105	53423.57581
106	53371.65113
107	53314.06018
108	53269.89108
109	53226.63977
110	53124.59897
111	53093.77117
112	53061.995
113	53047.59614
114	52979.41481
115	52968.77303
116	52941.3301
117	52912.5588
118	52897.15889
119	52836.40675
120	52796.90488
121	52769.26125
122	52708.58458
123	52669.0622
124	52636.69788
125	52628.57201
126	52627.85408
127	52595.86584
128	52469.82377
129	52414.37985
130	52339.0317
131	52276.29781
132	52275.77851
133	52256.04726
134	52230.2785
135	52230.1782
136	52230.11437
137	52188.295
138	52143.53156
139	52075.75791
140	52001.77833
141	52001.73865
142	52001.69896
143	51946.67223
144	51946.63862
145	51892.13172
146	51860.21621
147	51839.77556
148	51838.31783
149	51781.52327
150	51760.75097
151	51760.68963
152	51739.6144
153	51739.00073
154	51719.58038
155	51683.36257
156	51683.33186
157	51667.14769
158	51625.99163
159	51555.75017
160	51555.46687
161	51535.53994
162	51535.28733
163	51487.50344
164	51443.40165
165	51443.38005
166	51383.99405
167	51349.22916
168	51313.42596
169	51279.86088
170	51179.57174
171	51155.53087
172	51123.39617
173	51063.4857
174	51047.68347
175	51047.65081
176	51020.85013
177	50989.8059
178	50960.49979
179	50942.1679
180	50942.10557
181	50896.80133
182	50865.52377
183	50824.16058
184	50824.16058
185	50824.1512
186	50788.68116
187	50788.22323
188	50788.22166
189	50773.34995
190	50743.09915
191	50743.0444
192	50743.0444
193	50679.45166
194	50679.44852
195	50679.44539
196	50657.11023
197	50657.1071
198	50627.33089
199	50627.32932
200	50597.98426
201	50571.30943
202	50571.30472
203	50571.30158
204	50571.29687
205	50571.28745
206	50555.14296
207	50526.64831
208	50526.64046
209	50526.63731
210	50526.63731
211	50526.6326
212	50526.6326
213	50526.62946
214	50526.62632
215	50526.61846
216	50526.61532
217	50526.61061
218	50526.60589
219	50526.60432
220	50496.24657
221	50496.24343
222	50496.24028
223	50496.23557
224	50496.22771
225	50496.22299
226	50496.21985
227	50473.3208
228	50440.86479
229	50430.94338
230	50430.94495
231	50390.08827
232	50390.08669
233	50390.08354
234	50375.39999
235	50375.39053
236	50363.65321
237	50363.65006
238	50329.49731
239	50263.22261
240	50182.02224
241	50170.91684
242	50138.59754
243	50084.62705
244	50064.3208
245	50050.21729
246	50043.37342
247	50009.39558
248	49982.2764
249	49953.07838
250	49935.36539
251	49928.70291
252	49903.4598
253	49887.97748
254	49880.55597
255	49880.46049
256	49873.59811
257	49829.26266
258	49819.46482
259	49819.45366
260	49792.0764
261	49792.07002
262	49792.06364
263	49792.06205
264	49762.32174
265	49762.31535
266	49746.37903
267	49687.37388
268	49687.36749
269	49668.77186
270	49668.77346
271	49593.51297
272	49542.2349
273	49542.20445
274	49476.91108
275	49425.87659
276	49389.60164
277	49349.5846
278	49326.85969
279	49306.52631
280	49288.56647
281	49212.06968
282	49165.03405
283	49165.03567
284	49149.30459
285	49105.11213
286	49075.6397
287	49063.61895
288	49042.10172
289	49042.1001
290	49000.40129
291	48992.18429
292	48992.18267
293	48977.11081
294	48956.05171
295	48895.59121
296	48895.59283
297	48884.62062
298	48838.90307
299	48794.08785
300	48793.98211
301	48793.88451
302	48768.7083
303	48768.62367
304	48768.56344
305	48740.19039
306	48675.13068
307	48629.02847
308	48628.94849
309	48593.2858
310	48574.41023
311	48564.7989
312	48547.40998
313	48527.78869
314	48505.71629
315	48472.60277
316	48472.5258
317	48472.46194
318	48412.19927
319	48412.19599
320	48369.36173
321	48369.35188
322	48369.2928
323	48369.23865
324	48348.27268
325	48324.78618
326	48308.21296
327	48308.17024
328	48289.36569
329	48289.32788
330	48279.51018
331	48232.07531
332	48209.25667
333	48179.61022
334	48162.14981
335	48127.31719
336	48076.20064
337	48056.76025
338	48056.75199
339	48015.19928
340	47988.6552
341	47970.53456
342	47970.52132
343	47970.5114
344	47963.84244
345	47958.7466
346	47911.0074
347	47880.89778
348	47867.06798
349	47830.20495
350	47803.79228
351	47773.09668
352	47716.53224
353	47706.85955
354	47706.80464
355	47693.49024
356	47674.31503
357	47674.29671
358	47674.28506
359	47674.26841
360	47674.25342
361	47674.20181
362	47662.75357
363	47644.8855
364	47600.7021
365	47561.12758
366	47556.3608
367	47556.31407
368	47556.29905
369	47541.58677
370	47527.12547
371	47488.7533
372	47442.86685
373	47406.44083
374	47404.99078
375	47404.96901
376	47382.56957
377	47382.53104
378	47361.22549
379	47335.67467
380	47301.5172
381	47301.37456
382	47301.35778
383	47301.32086
384	47301.29233
385	47301.27555
386	47300.92818
387	47294.84118
388	47266.81277
389	47224.29774
390	47215.90278
391	47207.31632
392	47206.98675
393	47206.96826
394	47206.95313
395	47187.48432
396	47142.69544
397	47116.34887
398	47091.52316
399	47081.51301
400	47042.60695
401	47027.76097
402	46996.77976
403	46985.08876
404	46978.2157
405	46963.04175
406	46947.50784
407	46920.89941
408	46917.78314
409	46901.12401
410	46901.11047
411	46901.09185
412	46901.07493
413	46890.2031
414	46890.18786
415	46861.2619
416	46857.01007
417	46856.99312
418	46838.19911
419	46823.36121
420	46806.51924
421	46806.50397
422	46794.18699
423	46763.44824
424	46744.20567
425	46744.18699
426	46695.69057
427	46695.67357
428	46692.25157
429	46688.06765
430	46688.05065
431	46670.49994
432	46642.16783
433	46642.144
434	46615.93171
435	46615.91638
436	46603.43321
437	46589.65867
438	46570.69882
439	46570.68007
440	46557.10896
441	46552.11149
442	46528.54061
443	46500.44805
444	46494.10772
445	46481.40569
446	46458.67032
447	46452.14316
448	46438.4263
449	46426.21
450	46408.67828
451	46402.46227
452	46399.76282
453	46383.27701
454	46345.41019
455	46338.8431
456	46294.29109
457	46294.25508
458	46284.51497
459	46269.94384
460	46254.49807
461	46243.96687
462	46243.85186
463	46205.26951
464	46170.81216
465	46170.78293
466	46170.75886
467	46161.10962
468	46161.08727
469	46161.06491
470	46147.31658
471	46147.29594
472	46128.78751
473	46108.7137
474	46108.69476
475	46108.48129
476	46108.46408
477	46108.4417
478	46108.4262
479	46096.48062
480	46073.24863
