iter	Passed	Remaining
0	15	31068
1	38	38013
2	52	34732
3	63	31575
4	77	31032
5	91	30274
6	105	30041
7	120	30025
8	145	32097
9	163	32596
10	178	32205
11	198	32890
12	217	33255
13	235	33340
14	248	32824
15	264	32740
16	283	33112
17	298	32916
18	314	32756
19	330	32741
20	348	32865
21	364	32750
22	381	32753
23	399	32911
24	425	33582
25	441	33511
26	455	33260
27	476	33582
28	495	33653
29	509	33488
30	528	33551
31	542	33347
32	558	33288
33	577	33384
34	592	33262
35	607	33153
36	624	33142
37	642	33155
38	664	33392
39	679	33307
40	714	34118
41	729	33989
42	750	34134
43	770	34243
44	785	34112
45	799	33973
46	814	33865
47	832	33871
48	853	33996
49	874	34121
50	890	34043
51	908	34039
52	927	34088
53	943	34007
54	956	33840
55	977	33937
56	996	33953
57	1013	33937
58	1029	33857
59	1046	33845
60	1062	33782
61	1080	33769
62	1095	33671
63	1112	33660
64	1133	33734
65	1147	33635
66	1164	33606
67	1184	33643
68	1203	33688
69	1221	33669
70	1241	33717
71	1260	33744
72	1278	33756
73	1293	33678
74	1308	33578
75	1321	33459
76	1336	33388
77	1352	33319
78	1370	33325
79	1388	33333
80	1403	33247
81	1417	33165
82	1433	33106
83	1448	33041
84	1465	33013
85	1482	32996
86	1503	33061
87	1521	33049
88	1539	33066
89	1556	33028
90	1569	32930
91	1584	32866
92	1678	34414
93	1705	34572
94	1718	34457
95	1733	34376
96	1748	34303
97	1763	34229
98	1777	34129
99	1792	34050
100	1810	34049
101	1825	33965
102	1840	33891
103	1856	33837
104	1870	33757
105	1884	33673
106	1899	33608
107	1914	33533
108	1938	33634
109	1952	33553
110	1966	33471
111	1986	33482
112	2003	33457
113	2019	33406
114	2033	33323
115	2046	33245
116	2061	33178
117	2077	33139
118	2092	33078
119	2106	33003
120	2120	32931
121	2135	32868
122	2150	32812
123	2164	32741
124	2183	32757
125	2198	32702
126	2215	32676
127	2228	32598
128	2245	32568
129	2270	32656
130	2293	32723
131	2308	32664
132	2331	32733
133	2345	32660
134	2358	32581
135	2369	32472
136	2380	32374
137	2395	32326
138	2409	32264
139	2426	32238
140	2441	32186
141	2451	32079
142	2462	31974
143	2476	31913
144	2487	31819
145	2501	31765
146	2517	31734
147	2534	31712
148	2549	31677
149	2565	31642
150	2582	31628
151	2595	31552
152	2618	31611
153	2629	31523
154	2644	31483
155	2658	31429
156	2669	31337
157	2689	31352
158	2703	31305
159	2720	31284
160	2733	31220
161	2747	31176
162	2757	31081
163	2773	31045
164	2787	31001
165	2798	30921
166	2820	30963
167	2839	30965
168	2856	30952
169	2870	30903
170	2888	30895
171	2903	30855
172	2919	30832
173	2935	30806
174	2950	30774
175	2961	30696
176	2979	30684
177	2996	30675
178	3011	30633
179	3025	30592
180	3035	30509
181	3050	30471
182	3065	30439
183	3079	30397
184	3090	30325
185	3109	30327
186	3124	30288
187	3135	30221
188	3145	30144
189	3162	30122
190	3178	30104
191	3189	30030
192	3200	29961
193	3217	29955
194	3227	29878
195	3237	29794
196	3255	29791
197	3263	29705
198	3280	29685
199	3290	29610
200	3304	29579
201	3320	29559
202	3335	29525
203	3346	29460
204	3361	29437
205	3376	29402
206	3395	29408
207	3416	29436
208	3431	29401
209	3440	29328
210	3450	29253
211	3459	29178
212	3470	29113
213	3478	29030
214	3490	28982
215	3503	28932
216	3520	28925
217	3539	28929
218	3551	28882
219	3561	28812
220	3583	28846
221	3593	28783
222	3613	28798
223	3625	28743
224	3636	28691
225	3648	28636
226	3660	28588
227	3675	28565
228	3688	28528
229	3705	28514
230	3717	28469
231	3732	28441
232	3740	28368
233	3751	28309
234	3765	28283
235	3775	28216
236	3789	28190
237	3800	28138
238	3815	28116
239	3830	28087
240	3846	28075
241	3862	28059
242	3879	28052
243	3902	28086
244	3917	28061
245	3931	28032
246	3946	28010
