iter	Passed	Remaining
0	14	28405
1	29	29180
2	47	31766
3	63	31657
4	77	31107
5	92	30677
6	106	30281
7	122	30494
8	141	31227
9	160	31972
10	177	32030
11	191	31744
12	216	33077
13	231	32775
14	248	32938
15	263	32638
16	281	32824
17	297	32729
18	317	33098
19	331	32802
20	345	32528
21	360	32424
22	376	32396
23	396	32675
24	410	32444
25	426	32392
26	441	32277
27	456	32177
28	473	32166
29	488	32086
30	503	31998
31	517	31855
32	532	31738
33	547	31679
34	564	31719
35	581	31720
36	595	31609
37	610	31518
38	623	31369
39	637	31259
40	656	31370
41	672	31336
42	687	31272
43	705	31348
44	718	31209
45	737	31315
46	756	31421
47	770	31315
48	783	31202
49	797	31114
50	815	31154
51	831	31141
52	848	31159
53	862	31069
54	876	30996
55	891	30960
56	908	30980
57	934	31278
58	948	31216
59	966	31254
60	981	31186
61	995	31111
62	1012	31119
63	1040	31463
64	1061	31607
65	1076	31554
66	1090	31472
67	1104	31383
68	1118	31301
69	1130	31181
70	1155	31399
71	1176	31501
72	1192	31490
73	1208	31453
74	1225	31447
75	1240	31402
76	1259	31444
77	1280	31563
78	1297	31554
79	1313	31512
80	1330	31514
81	1345	31468
82	1362	31466
83	1377	31431
84	1393	31393
85	1408	31341
86	1422	31281
87	1438	31249
88	1453	31199
89	1470	31211
90	1488	31224
91	1505	31225
92	1520	31170
93	1534	31108
94	1551	31112
95	1568	31111
96	1584	31085
97	1599	31041
98	1615	31019
99	1628	30932
100	1642	30875
101	1655	30812
102	1672	30798
103	1685	30729
104	1700	30697
105	1718	30710
106	1734	30683
107	1750	30668
108	1765	30628
109	1781	30613
110	1799	30617
111	1818	30658
112	1836	30666
113	1851	30637
114	1866	30590
115	1881	30557
116	1897	30530
117	1912	30497
118	1929	30495
119	1948	30530
120	1964	30510
121	1978	30460
122	1993	30418
123	2010	30414
124	2027	30419
125	2043	30396
126	2058	30357
127	2074	30340
128	2090	30327
129	2106	30299
130	2121	30264
131	2135	30215
132	2150	30187
133	2164	30142
134	2184	30180
135	2203	30196
136	2212	30088
137	2227	30060
138	2243	30031
139	2258	30002
140	2275	29996
141	2292	30000
142	2311	30018
143	2328	30016
144	2354	30117
145	2368	30082
146	2383	30045
147	2394	29969
148	2408	29917
149	2424	29897
150	2440	29887
151	2465	29971
152	2477	29911
153	2490	29848
154	2505	29825
155	2524	29844
