iter	Passed	Remaining
0	16	32617
1	34	34169
2	48	32406
3	62	31389
4	77	30989
5	92	30576
6	107	30485
7	122	30518
8	139	30892
9	158	31599
10	173	31363
11	190	31591
12	205	31377
13	219	31108
14	231	30635
15	245	30392
16	259	30260
17	273	30147
18	297	31047
19	312	30904
20	327	30847
21	345	31052
22	362	31139
23	376	30998
24	391	30963
25	408	31001
26	423	30960
27	450	31721
28	464	31593
29	478	31449
30	494	31399
31	507	31238
32	523	31216
33	538	31156
34	556	31229
35	571	31205
36	588	31213
37	614	31733
38	628	31601
39	643	31525
40	657	31405
41	673	31394
42	688	31312
43	702	31243
44	718	31208
45	733	31167
46	748	31099
47	763	31053
48	778	30988
49	792	30912
50	808	30880
51	825	30910
52	838	30795
53	852	30723
54	866	30628
55	881	30599
56	895	30536
57	910	30497
58	925	30444
59	943	30521
60	958	30464
61	975	30478
62	1009	31040
63	1025	31019
64	1040	30987
65	1056	30948
66	1069	30852
67	1084	30816
68	1100	30788
69	1114	30736
70	1129	30683
71	1144	30656
72	1164	30729
73	1180	30717
74	1194	30655
75	1209	30617
76	1224	30577
77	1239	30536
78	1253	30475
79	1266	30400
80	1280	30330
81	1295	30306
82	1320	30506
83	1335	30460
84	1349	30400
85	1363	30347
86	1377	30280
87	1390	30213
88	1406	30205
89	1425	30252
90	1440	30217
91	1455	30181
92	1470	30157
93	1485	30129
94	1499	30076
95	1515	30049
96	1530	30025
97	1545	29998
98	1560	29970
99	1580	30038
100	1596	30008
101	1610	29969
102	1628	29986
103	1643	29965
104	1669	30131
105	1684	30091
106	1702	30116
107	1719	30114
108	1734	30089
109	1754	30148
110	1770	30123
111	1789	30158
112	1809	30220
113	1826	30220
114	1842	30199
115	1856	30151
116	1871	30113
117	1885	30073
118	1898	30016
119	1913	29974
120	1928	29946
121	1943	29916
122	1960	29910
123	1979	29944
124	1993	29899
125	2007	29861
126	2026	29882
127	2043	29890
128	2058	29856
129	2073	29820
130	2089	29804
131	2104	29775
132	2121	29776
133	2140	29807
134	2157	29802
135	2172	29769
136	2183	29696
137	2201	29699
138	2224	29783
139	2239	29749
140	2255	29738
141	2269	29691
142	2283	29649
143	2298	29621
144	2315	29618
145	2330	29596
146	2341	29518
147	2356	29492
148	2369	29432
149	2384	29408
150	2397	29354
151	2411	29317
152	2425	29274
153	2435	29191
154	2450	29169
155	2464	29135
156	2476	29070
157	2491	29043
158	2506	29023
159	2521	28998
160	2536	28975
161	2554	28981
162	2572	28986
163	2587	28967
164	2610	29026
165	2629	29056
166	2644	29027
167	2654	28950
168	2672	28958
169	2692	28981
170	2705	28937
171	2722	28930
172	2737	28914
173	2752	28889
174	2764	28825
175	2772	28734
176	2787	28708
177	2799	28651
178	2813	28625
179	2829	28610
180	2846	28605
181	2862	28590
182	2872	28522
183	2887	28499
184	2902	28471
185	2915	28437
186	2925	28363
187	2943	28371
188	2958	28345
189	2973	28326
190	2982	28248
191	3009	28343
192	3027	28345
193	3044	28343
194	3055	28283
195	3064	28208
196	3082	28207
197	3107	28277
198	3116	28203
199	3136	28232
200	3151	28204
201	3165	28174
202	3186	28207
203	3199	28172
204	3220	28200
205	3233	28163
206	3244	28103
207	3256	28054
208	3266	27995
209	3277	27934
210	3288	27879
211	3297	27809
212	3307	27747
213	3319	27705
214	3337	27712
215	3348	27652
216	3358	27594
217	3369	27541
218	3380	27487
219	3393	27457
220	3404	27407
221	3414	27343
222	3426	27301
223	3437	27251
224	3445	27182
225	3462	27182
226	3483	27208
227	3498	27192
228	3520	27228
229	3538	27233
230	3555	27227
231	3568	27193
232	3586	27201
233	3600	27171
234	3613	27141
235	3628	27119
236	3639	27072
237	3653	27048
238	3668	27027
239	3677	26967
240	3694	26964
241	3711	26965
242	3726	26946
243	3740	26920
244	3756	26909
245	3767	26861
246	3784	26856
247	3802	26862
248	3819	26856
249	3834	26839
250	3848	26813
251	3862	26794
252	3877	26777
253	3892	26756
254	3915	26797
255	3925	26742
256	3941	26730
257	3955	26705
258	3967	26666
259	3981	26646
260	4005	26685
261	4016	26645
262	4025	26588
263	4036	26542
264	4048	26503
265	4060	26467
266	4082	26500
267	4098	26486
268	4118	26502
269	4132	26481
270	4142	26429
271	4157	26412
272	4172	26396
273	4184	26362
274	4197	26332
275	4213	26316
276	4224	26278
277	4240	26266
278	4261	26286
279	4275	26263
280	4289	26242
281	4301	26208
282	4317	26194
283	4333	26186
284	4350	26182
285	4368	26181
286	4383	26162
287	4399	26152
288	4417	26151
289	4434	26150
290	4449	26129
291	4464	26115
292	4478	26092
293	4493	26073
294	4508	26056
295	4521	26027
296	4536	26012
297	4551	25993
298	4583	26076
299	4597	26054
