iter	RMSE
0	226514.5789
1	216472.7695
2	207124.1096
3	198282.7971
4	189788.0604
5	181734.4344
6	174101.1424
7	166882.6621
8	160111.6358
9	153683.8992
10	147739.1605
11	141927.1625
12	136552.9762
13	131384.2924
14	126750.0523
15	122206.818
16	117940.5772
17	113872.6283
18	110136.6232
19	106644.7222
20	103286.8974
21	100150.7687
22	97259.25062
23	94662.0428
24	92105.93345
25	89724.7161
26	87401.15999
27	85290.87309
28	83345.67894
29	81474.36071
30	79825.0252
31	78231.34093
32	76777.27674
33	75340.60203
34	74075.79585
35	72957.40494
36	71803.73051
37	70786.88069
38	69759.7682
39	68809.45988
40	67937.88407
41	67102.5807
42	66327.82006
43	65681.25503
44	65062.32149
45	64485.55989
46	63949.93644
47	63429.34308
48	62957.37647
49	62497.4371
50	62070.58608
51	61667.45238
52	61295.68961
53	60967.67474
54	60618.11691
55	60300.16895
56	60058.94067
57	59743.17239
58	59506.46587
59	59231.39599
60	58973.51661
61	58748.65492
62	58538.24159
63	58365.73615
64	58134.55304
65	57822.65812
66	57681.35361
67	57572.77885
68	57341.92899
69	57206.79752
70	57013.76506
71	56840.4066
72	56729.44996
73	56592.47731
74	56364.04046
75	56210.50946
76	56111.1063
77	55965.46069
78	55866.5565
79	55755.24509
80	55620.70314
81	55488.42445
82	55340.17902
83	55254.61887
84	55166.63523
85	55021.95796
86	54864.25476
87	54786.31821
88	54709.80871
89	54646.77907
90	54583.21416
91	54498.48741
92	54395.39247
93	54286.85823
94	54238.73028
95	54168.8162
96	54114.63366
97	54064.85183
98	53993.98631
99	53886.46442
100	53754.12695
101	53674.22946
102	53605.86563
103	53540.31471
104	53378.64769
105	53341.58034
106	53289.08024
107	53254.67251
108	53203.09829
109	53120.59672
110	53058.05212
111	52993.4474
112	52980.82986
113	52957.36661
114	52909.85376
115	52837.78474
116	52812.49631
117	52761.30534
118	52736.87438
119	52653.96193
120	52619.9777
121	52606.06339
122	52595.59279
123	52576.35754
124	52561.55572
125	52488.56383
126	52467.56154
127	52451.61511
128	52374.0868
129	52362.80574
130	52323.03433
131	52322.63379
132	52243.80183
133	52209.74828
134	52173.50286
135	52123.9079
136	52110.17799
137	52083.13712
138	52082.83534
139	51999.46625
140	51999.3197
141	51963.92659
142	51963.26358
143	51933.294
144	51905.52783
145	51856.49711
146	51856.27361
147	51792.87048
148	51791.88341
149	51773.26954
150	51772.99355
151	51700.89058
152	51615.54505
153	51615.49583
154	51598.21531
155	51598.11684
156	51593.48884
157	51593.43961
158	51569.56678
159	51558.78099
160	51558.6455
161	51526.7906
162	51526.74284
163	51463.06022
164	51431.5073
165	51431.42858
166	51431.42395
167	51429.26921
168	51429.16888
169	51429.16579
170	51406.72077
171	51406.55708
172	51358.56478
173	51358.42876
174	51358.34838
175	51312.70434
176	51312.70124
177	51247.71327
178	51247.5847
179	51247.58315
180	51202.69928
181	51158.73343
182	51067.48918
183	51056.74192
184	51056.73881
185	51056.73104
186	51013.1109
187	51011.88776
188	50976.59083
189	50934.5557
190	50841.12916
191	50841.04172
192	50841.03079
193	50773.12521
194	50773.01577
195	50772.85316
196	50746.90647
197	50746.87831
198	50746.77038
199	50746.76099
200	50746.73909
201	50725.06256
202	50686.63413
203	50686.52137
204	50686.43053
205	50668.98982
206	50668.97102
207	50636.6505
208	50578.44727
209	50552.14012
210	50524.67862
211	50496.7117
212	50438.19589
213	50386.48646
214	50358.0818
215	50358.03293
216	50316.05375
217	50294.23421
218	50226.94861
219	50222.80754
220	50172.23683
221	50124.14915
222	50123.23216
223	50111.69785
224	50100.97214
225	50084.37208
226	50067.75065
227	49982.44515
228	49980.05322
229	49979.27812
230	49933.25103
231	49902.81474
232	49902.74952
233	49902.6827
234	49902.62066
235	49901.97004
236	49901.91118
237	49869.06647
238	49869.00598
239	49868.42654
240	49868.36924
241	49868.31352
242	49867.78343
243	49815.32573
244	49800.92747
245	49800.6533
246	49764.56108
247	49742.66401
248	49708.68564
249	49708.35825
250	49639.48852
251	49638.99277
252	49578.51197
253	49523.60319
254	49523.20565
255	49522.84018
256	49481.50647
257	49481.23534
258	49459.10209
259	49458.89022
260	49411.49157
261	49384.68657
262	49351.42364
263	49351.36573
264	49351.08263
265	49324.02109
266	49323.72334
267	49323.49641
268	49323.44974
269	49306.05499
270	49287.00806
271	49242.51025
272	49223.21457
273	49223.0033
274	49222.97104
275	49222.78397
276	49213.00335
277	49212.9469
278	49197.11862
279	49196.95887
280	49167.9978
281	49140.70943
282	49116.47521
283	49093.77812
284	49093.70697
285	49093.69404
286	49093.49515
287	49065.28359
288	49065.23505
289	49065.104
290	49053.43255
291	49053.4196
292	49053.3662
293	49053.35325
294	49053.34678
295	49053.29823
296	49053.28528
297	49053.24159
298	49024.09522
299	49024.09036
300	48997.57081
301	48997.52545
302	48997.4736
303	48977.16887
304	48977.16076
305	48966.48646
306	48966.43458
307	48934.51447
308	48934.46256
309	48895.95165
310	48869.26022
311	48835.21059
312	48835.20571
313	48827.99755
314	48827.94877
315	48827.9
316	48806.36667
317	48806.36667
318	48806.3195
319	48806.31625
320	48806.31299
321	48772.85256
322	48752.07162
323	48727.19773
324	48727.19448
325	48727.15049
326	48727.14723
327	48699.8107
328	48699.76832
329	48673.52383
330	48673.51894
331	48673.51405
332	48637.07016
333	48578.29649
334	48578.29323
335	48551.6479
336	48551.60539
337	48551.55797
